reactionId	parameterId	parameterScale	lowerBound	upperBound	nominalValue	estimate
vNer1	kNer1_1	lin	1.00E-02	1.00E-02	1.00E-02	0
vNer2	kNer2_1	lin	1.00E-02	1.00E-02	1.00E-02	0
vNer3	kNer3_1	lin	1.00E-04	1.00E-04	1.00E-04	0
vNer4	kNer4_1	lin	0.00E+00	0.00E+00	0.00E+00	0
vNer5	kNer5_1	lin	1.51E-05	1.51E-05	1.51E-05	0
vNer6	kNer6_1	lin	1.00E-04	1.00E-04	1.00E-04	0
vNer7	kNer7_1	lin	0.00E+00	0.00E+00	0.00E+00	0
vNer8	kNer8_1	lin	1.04E-05	1.04E-05	1.04E-05	0
vNer9	kNer9_1	lin	1.00E-04	1.00E-04	1.00E-04	0
vNer10	kNer10_1	lin	0.00E+00	0.00E+00	0.00E+00	0
vNer11	kNer11_1	lin	0.00E+00	0.00E+00	0.00E+00	0
